TXNAME	SYMBOL
NM_001366584.1	SRRM1
NM_001366587.1	SRRM1
NM_001366571.1	SRRM1
NM_001366565.1	SRRM1
NM_001366593.1	SRRM1
NM_001366572.1	SRRM1
NM_001366590.1	SRRM1
NM_001366567.1	SRRM1
NM_001366570.1	SRRM1
NM_001366591.1	SRRM1
NM_001366586.1	SRRM1
NM_001366594.1	SRRM1
NM_001366600.1	SRRM1
NM_001366566.1	SRRM1
NM_001366599.1	SRRM1
NM_001366578.1	SRRM1
NM_001366595.1	SRRM1
NM_005839.4	SRRM1
NM_001366569.1	SRRM1
NM_001366582.1	SRRM1
NM_001303448.2	SRRM1
NM_001366588.1	SRRM1
NM_001366575.1	SRRM1
NM_001366589.1	SRRM1
NM_001366577.1	SRRM1
NM_001366576.1	SRRM1
NM_001366581.1	SRRM1
NM_001366592.1	SRRM1
NM_001303449.1	SRRM1
NM_001366598.1	SRRM1
NM_001366597.1	SRRM1
NM_001366596.1	SRRM1
NM_013943.3	CLIC4
NM_001320672.1	RUNX3
NM_001031680.2	RUNX3
NM_004350.3	RUNX3
NM_207170.4	SYF2
NM_015484.5	SYF2
NM_001321772.1	RSRP1
NM_020317.5	RSRP1
NM_001282872.1	RHD
NM_016124.4	RHD
NM_001282870.1	RHD
NM_001282868.1	RHD
NM_001282867.1	RHD
NM_001282871.2	RHD
NM_001282869.2	RHD
NM_001127691.3	RHD
NM_014313.4	TMEM50A
NM_138616.4	RHCE
NM_138617.4	RHCE
NM_138618.5	RHCE
NM_001330430.2	RHCE
NM_020485.5	RHCE
NM_001282564.1	MACO1
NM_018202.6	MACO1
NM_015627.3	LDLRAP1
NM_020379.3	MAN1C1
NM_001289010.1	MAN1C1
NM_020451.3	SELENON
NM_206926.2	SELENON
NM_001099627.1	MTFR1L
NM_001099625.2	MTFR1L
NM_019557.5	MTFR1L
NM_001099626.1	MTFR1L
NM_001287490.1	AUNIP
NM_024037.3	AUNIP
NM_178422.5	PAQR7
NM_001145454.3	STMN1
NM_203399.1	STMN1
NM_005563.4	STMN1
NM_203401.1	STMN1
NM_000437.4	PAFAH2
NM_004455.3	EXTL1
NM_032513.5	SLC30A2
NM_001004434.3	SLC30A2
NM_032588.3	TRIM63
NM_001243532.1	PDIK1L
NM_001243533.2	PDIK1L
NM_152835.5	PDIK1L
NM_024869.3	FAM110D
NM_001364669.1	C1orf232
NM_001364667.1	C1orf232
NM_015871.5	ZNF593
NM_001297647.2	CNKSR1
NM_006314.3	CNKSR1
NM_001297648.2	CNKSR1
NM_198137.1	CATSPER4
NM_022778.5	CEP85
NM_001319944.2	CEP85
NM_001281517.3	CEP85
NM_001281518.3	CEP85
NM_031286.4	SH3BGRL3
NM_145345.2	UBXN11
NM_001077262.1	UBXN11
NM_183008.2	UBXN11
NM_001803.3	CD52
NM_001039775.3	CRYBG2
NM_173574.3	ZNF683
NM_001307925.1	ZNF683
NM_001114759.2	ZNF683
NM_024674.6	LIN28A
NM_001319959.1	DHDDS
NM_024887.3	DHDDS
NM_001243564.1	DHDDS
NM_001243565.1	DHDDS
NM_205861.3	DHDDS
NM_005517.4	HMGN2
NM_002953.4	RPS6KA1
NM_001330441.2	RPS6KA1
NM_001006665.2	RPS6KA1
NM_006015.6	ARID1A
NM_139135.4	ARID1A
NM_017837.3	PIGV
NM_001202554.1	PIGV
NM_032283.3	ZDHHC18
NM_006142.5	SFN
NM_018066.4	GPN2
NM_022078.3	GPATCH3
NM_021969.3	NR0B2
NM_006600.4	NUDC
NM_152365.3	KDF1
NM_001013642.3	TRNP1
NM_052943.4	TENT5B
NM_003047.5	SLC9A1
NM_001276252.2	WDTC1
NM_015023.5	WDTC1
NM_032125.2	TMEM222
NM_001193308.2	SYTL1
NM_032872.3	SYTL1
NM_001297609.2	MAP3K6
NM_004672.5	MAP3K6
NM_173452.2	FCN3
NM_003665.3	FCN3
NM_001330448.1	CD164L2
NM_207397.5	CD164L2
NM_005281.4	GPR3
NM_001201404.3	WASF2
NM_006990.5	WASF2
NM_001371928.1	AHDC1
NM_001029882.3	AHDC1
NM_005248.3	FGR
NM_001042729.2	FGR
NM_001042747.1	FGR
NM_002038.4	IFI6
NM_022872.3	IFI6
NM_022873.3	IFI6
NM_001143912.2	FAM76A
NM_001143913.2	FAM76A
NM_152660.3	FAM76A
NM_001143914.2	FAM76A
NM_001143915.2	FAM76A
NM_177424.3	STX12
NM_002713.4	PPP1R8
NM_138558.3	PPP1R8
NM_014110.5	PPP1R8
NM_001286113.1	THEMIS2
NM_004848.3	THEMIS2
NM_001286115.1	THEMIS2
NM_001039477.2	THEMIS2
NM_001105556.3	THEMIS2
NM_001297558.1	RPA2
NM_001355128.1	RPA2
NM_001286076.1	RPA2
NM_001355129.1	RPA2
NM_002946.5	RPA2
NM_001009568.2	SMPDL3B
NM_001304579.2	SMPDL3B
NM_014474.4	SMPDL3B
NM_018053.4	XKR8
NM_001282562.1	EYA3
NM_001282561.1	EYA3
NM_001990.4	EYA3
NM_001282560.2	EYA3
NM_001164721.1	PTAFR
NM_001164722.3	PTAFR
NM_000952.5	PTAFR
NM_001164723.3	PTAFR
NM_014280.3	DNAJC8
NM_178191.2	ATP5IF1
NM_178190.3	ATP5IF1
NM_016311.5	ATP5IF1
NM_031459.5	SESN2
NM_017638.3	MED18
NM_001127350.2	MED18
NM_001350159.2	PHACTR4
NM_001350160.2	PHACTR4
NM_001350161.2	PHACTR4
NM_001350158.2	PHACTR4
NM_001048183.3	PHACTR4
NM_023923.4	PHACTR4
NM_001048199.2	RCC1
NM_001048194.3	RCC1
NM_001048195.3	RCC1
NM_001269.5	RCC1
NM_017846.5	TRNAU1AP
NM_152304.3	RAB42
NM_001193532.2	RAB42
NM_005644.4	TAF12
NM_001135218.2	TAF12
NM_006582.4	GMEB1
NM_001319674.2	GMEB1
NM_024482.3	GMEB1
NM_001173128.1	YTHDF2
NM_016258.3	YTHDF2
NM_001172828.2	YTHDF2
NM_000911.4	OPRD1
